scoutId,regio2,regio3,street,houseNumber,geo_plz,totalRent,baseRent,serviceCharge,livingSpace,noRooms,floor,numberOfFloors,balcony,cellar,hasKitchen,garden,lift,petsAllowed,typeOfFlat,heatingType,condition,interiorQual,yearConstructed,lastRefurbish,newlyConst,energyEfficiencyClass,noParkSpaces
59344413,Berlin,Johannisthal_Treptow,"Johannes-Werner- Str. 22,23 /Ecke Herweghstrasse",19,12487,1060.0,910.0,150.0,70.0,2.0,2.0,2.0,True,True,True,False,False,no,apartment,central_heating,first_time_use_after_refurbishment,luxury,1911.0,2018.0,False,,
113040777,Berlin,Friedrichshain_Friedrichshain,Siegfried-Hirschmann-Park,5,10245,1640.0,1400.0,240.0,92.0,3.0,2.0,6.0,True,True,True,True,True,negotiable,apartment,floor_heating,first_time_use,sophisticated,2018.0,,True,,
65270194,Berlin,Tegel_Reinickendorf,Alt-Tegel,8,13507,1687.32,1485.36,141.0,119.21,4.0,3.0,3.0,True,True,True,False,False,,apartment,central_heating,modernized,sophisticated,1918.0,2017.0,False,NO_INFORMATION,
111178750,Berlin,Köpenick_Köpenick,Lindenstr.,33,12555,1199.0,999.0,200.0,65.0,2.0,0.0,3.0,True,True,True,True,True,,ground_floor,central_heating,fully_renovated,normal,,,False,,
113873778,Berlin,Neukölln_Neukölln,Sonnenallee,23,12047,1292.0,1069.0,223.0,76.36,3.0,2.0,5.0,True,False,False,False,False,,apartment,central_heating,,,1955.0,,False,,
103853847,Berlin,Oberschöneweide_Köpenick,Wilhelminenhofstrasse,6,12459,740.0,600.0,70.0,60.1,2.0,0.0,,False,True,False,False,False,,raised_ground_floor,,refurbished,normal,1894.0,,False,,
112338400,Berlin,Köpenick_Köpenick,Salvador-Allende-Str.,76A,12559,719.0,579.0,70.0,60.0,2.0,3.0,4.0,True,False,True,False,False,negotiable,apartment,central_heating,well_kept,normal,1997.0,,False,,
113677031,Berlin,Grunewald_Wilmersdorf,Herthastra&szlig;e,23,14193,1560.0,1100.0,460.0,95.0,3.0,1.0,1.0,True,True,True,True,False,negotiable,maisonette,,,,,,False,,2.0
66001374,Berlin,Wilmersdorf_Wilmersdorf,Livl&auml;ndische Str.,22,10715,740.0,600.0,80.0,50.0,2.0,5.0,5.0,False,False,False,False,False,,roof_storey,central_heating,first_time_use_after_refurbishment,normal,2009.0,2019.0,False,,
115653182,Berlin,Marienfelde_Tempelhof,Hanielweg,15 a,12277,970.0,729.0,125.0,85.79,3.0,1.0,4.0,True,True,True,False,False,negotiable,apartment,gas_heating,well_kept,normal,1997.0,,False,NO_INFORMATION,
114583873,Berlin,Tiergarten_Tiergarten,Gabriele-Tergit-Promenade,21,10963,3380.0,2990.0,390.0,120.0,3.0,11.0,11.0,True,True,True,True,True,no,penthouse,,first_time_use,sophisticated,2018.0,,False,,1.0
110430420,Berlin,Alt_Hohenschönhausen_Hohenschönhausen,Konrad-Wolf-Str.,80,13055,1142.48,942.92,199.56,79.0,3.0,4.0,,True,False,False,False,False,,apartment,,,,2015.0,,False,,
94904584,Berlin,Weißensee_Weißensee,Bizetstra&szlig;e,94,13088,820.0,660.0,160.0,55.0,1.0,2.0,3.0,False,True,False,False,False,no,apartment,gas_heating,first_time_use_after_refurbishment,normal,1899.0,2018.0,False,,
103279289,Berlin,Zehlendorf_Zehlendorf,no_information,,14163,2800.0,2340.0,460.0,180.0,4.0,2.0,3.0,True,True,True,False,False,negotiable,apartment,central_heating,first_time_use_after_refurbishment,sophisticated,1910.0,2018.0,False,NO_INFORMATION,
110623262,Berlin,Charlottenburg_Charlottenburg,Marburger Str.,12,10789,1690.0,1450.0,240.0,64.0,2.0,5.0,6.0,False,False,True,False,True,,apartment,floor_heating,first_time_use,luxury,2004.0,2019.0,False,,1.0
103196011,Berlin,Tegel_Reinickendorf,Alt-Tegel,1+3,13507,1960.0,1800.0,160.0,120.0,4.0,4.0,4.0,True,True,True,False,True,,roof_storey,gas_heating,first_time_use,sophisticated,2016.0,,False,,
106314941,Berlin,Oberschöneweide_Köpenick,Tabbertstra&szlig;e,6,12459,613.8,525.72,58.72,29.36,1.0,4.0,5.0,True,True,True,False,True,no,apartment,,mint_condition,sophisticated,,2017.0,False,,
109472259,Berlin,Kreuzberg_Kreuzberg,Hornstra&szlig;e,9,10963,2960.0,2700.0,260.0,153.0,2.5,5.0,5.0,True,True,True,False,True,,roof_storey,gas_heating,first_time_use,luxury,2018.0,,True,,
115504688,Berlin,Kreuzberg_Kreuzberg,Stresemannstra&szlig;e,63,10963,1817.0,1562.0,157.0,97.62,3.0,1.0,,True,False,True,False,True,,apartment,central_heating,mint_condition,,2019.0,,True,B,0.0
115381972,Berlin,Wilmersdorf_Wilmersdorf,Lietzenburger Str.,53,10719,3515.0,2568.0,947.0,214.0,5.0,5.0,,True,True,True,False,True,,,floor_heating,,,2006.0,,False,A,
113779560,Berlin,Wilmersdorf_Wilmersdorf,Grainauer Stra&szlig;e,5,10777,1340.0,1200.0,140.0,68.0,2.0,3.0,3.0,True,True,True,True,False,,roof_storey,,fully_renovated,luxury,,2019.0,False,,
111371844,Berlin,Pankow_Pankow,W&uuml;rtzstr.,15A,13187,626.73,499.77,126.96,38.6,2.0,1.0,,False,False,False,False,False,,apartment,district_heating,first_time_use_after_refurbishment,,1928.0,,False,,
51799641,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,no_information,,10435,1810.0,1590.0,140.0,118.0,4.0,3.0,4.0,True,True,False,False,True,no,apartment,central_heating,mint_condition,luxury,1894.0,2017.0,False,,1.0
115617141,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,Naugarder Str.,17,10409,1850.0,1500.0,230.0,132.88,3.0,3.0,7.0,True,True,True,False,True,negotiable,apartment,floor_heating,mint_condition,sophisticated,2016.0,,False,NO_INFORMATION,
110548438,Berlin,Steglitz_Steglitz,Knausstra&szlig;e,10,12157,1690.0,1420.0,135.0,90.0,3.0,4.0,4.0,True,True,True,False,True,negotiable,roof_storey,central_heating,first_time_use,sophisticated,1905.0,2019.0,False,E,
111239385,Berlin,Treptow_Treptow,Kiefholzstr,25,12435,1198.43,993.82,146.15,58.46,2.0,4.0,6.0,True,True,True,False,True,negotiable,apartment,central_heating,mint_condition,sophisticated,2017.0,2017.0,False,B,
115690955,Berlin,Tegel_Reinickendorf,Veitstra&szlig;e,32,13507,925.0,665.0,140.0,71.76,2.0,2.0,5.0,True,True,True,False,True,negotiable,apartment,district_heating,well_kept,,1997.0,,False,,1.0
104459010,Berlin,Weißensee_Weißensee,Bizetstr.,43,13088,595.0,515.0,80.0,54.77,2.0,3.0,4.0,False,True,True,False,False,,apartment,self_contained_central_heating,,normal,1895.0,2010.0,False,C,
113861610,Berlin,Charlottenburg_Charlottenburg,Heubnerweg,7,14059,1724.0,1469.0,255.0,77.0,2.0,7.0,,True,True,True,False,True,,,,,,,,False,,
111291128,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,Dunckerstra&szlig;e,46,10439,892.6,707.6,185.0,74.48,2.0,4.0,4.0,True,False,False,False,False,,apartment,,refurbished,normal,1929.0,,False,D,
111418038,Berlin,Tiergarten_Tiergarten,Klara Franke Strasse,12,10557,730.0,680.0,50.0,14.0,1.0,1.0,5.0,True,False,True,False,False,no,apartment,central_heating,modernized,sophisticated,,2019.0,False,,
113683495,Berlin,Tiergarten_Tiergarten,Putlitzstr.,15,10551,1520.0,1298.0,222.0,118.0,4.0,2.0,5.0,True,False,False,False,False,negotiable,apartment,self_contained_central_heating,first_time_use_after_refurbishment,,1903.0,2019.0,False,,1.0
110948148,Berlin,Köpenick_Köpenick,Egersfelder Allee,26,12555,961.0,816.0,85.0,68.0,2.0,0.0,,True,True,True,True,False,yes,ground_floor,central_heating,well_kept,sophisticated,1997.0,2014.0,False,,
113427232,Berlin,Hellersdorf_Hellersdorf,Zossener Str.,97,12629,670.44,465.23,205.21,66.39,3.0,1.0,,True,False,False,False,True,,apartment,district_heating,modernized,,1989.0,,False,,
115694685,Berlin,Friedrichshain_Friedrichshain,Alt-Stralau,5,10245,1862.0,1644.0,218.0,72.64,2.0,0.0,2.0,False,False,True,True,False,no,apartment,,mint_condition,sophisticated,,,False,,
106216487,Berlin,Friedrichshain_Friedrichshain,Stralauer Platz,38/39,10243,1663.46,1470.03,116.06,77.37,3.0,5.0,11.0,True,False,True,False,True,no,apartment,floor_heating,first_time_use,sophisticated,2018.0,2018.0,True,,
105939659,Berlin,Charlottenburg_Charlottenburg,no_information,,10587,2380.0,2100.0,280.0,114.0,3.0,5.0,,True,True,True,False,True,,apartment,floor_heating,refurbished,,1907.0,2017.0,False,NO_INFORMATION,1.0
107332157,Berlin,Marzahn_Marzahn,Mehrower Allee,36B,12687,980.33,773.49,134.5,85.44,4.0,2.0,6.0,True,False,False,False,True,,apartment,,,,1999.0,,False,,
105136454,Berlin,Tiergarten_Tiergarten,Sch&ouml;neberger Ufer,59,10785,1728.0,1514.0,214.0,94.65,3.0,2.0,5.0,False,False,False,False,True,,apartment,central_heating,,,1895.0,,False,,
112214284,Berlin,Tiergarten_Tiergarten,Rostocker Str.,25,10553,940.0,780.0,160.0,57.75,2.0,4.0,,True,False,False,False,False,,apartment,,,,1892.0,,False,NO_INFORMATION,
115220078,Berlin,Baumschulenweg_Treptow,Kiefholzstr.,188,12437,790.0,663.0,127.0,70.29,2.0,2.0,,True,False,False,False,False,negotiable,apartment,self_contained_central_heating,modernized,sophisticated,1905.0,,False,,
110354537,Berlin,Karow_Weißensee,Pfannschmitdtstr.,33,13125,921.0,749.0,172.0,74.49,3.0,3.0,,True,True,False,False,False,,apartment,district_heating,well_kept,,1997.0,,False,NO_INFORMATION,
